"Exit|Fast|HSDir|Running|Stable|V2Dir|Valid","188.68.50.25","9000"
"Fast|Guard|Running|Stable|V2Dir|Valid","45.134.225.98","9000"
"Fast|Running|Valid","23.94.220.202","9001"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","179.43.187.43","9001"
"Fast|Guard|Running|Stable|V2Dir|Valid","78.111.104.187","9001"
"Fast|Running|Valid","176.123.4.96","443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","193.142.146.239","9001"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","23.128.248.14","443"
"Running|V2Dir|Valid","45.79.113.126","443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","5.252.178.224","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","164.132.226.30","22"
"Fast|Running|Stable|Valid","91.245.255.87","9001"
"Fast|Guard|Running|Stable|V2Dir|Valid","5.9.14.25","993"
"Fast|Running|Valid","87.123.25.150","9001"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","188.68.36.68","9000"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","83.78.216.17","53343"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","104.149.136.105","8000"
"Fast|Guard|Running|Stable|V2Dir|Valid","107.189.12.251","443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","85.214.236.54","443"
"Fast|Running|Valid","83.229.85.200","9001"
"Fast|Guard|Running|Stable|V2Dir|Valid","95.216.27.105","9001"
"Fast|Guard|Running|Stable|V2Dir|Valid","65.108.253.128","443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","188.138.75.101","443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","116.202.169.25","3443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","141.145.206.8","443"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","188.68.42.139","9000"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","162.247.74.216","443"
"Fast|Running|V2Dir|Valid","213.47.199.88","9001"
"Exit|Running|Stable|V2Dir|Valid","5.255.99.5","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","193.108.117.125","443"
"Fast|Running|Valid","155.4.253.146","9010"
"Exit|Fast|Running|Stable|Valid","185.220.101.14","9001"
"Running|Stable|V2Dir|Valid","207.180.192.66","9001"
"Fast|Running|Valid","14.9.101.224","8351"
"BadExit|Fast|MiddleOnly|Running|Stable|Valid","107.189.30.41","7777"
